number,Cwz,k,l,m,n
579,-0.57,3,4,8,5
580,0.57,2,2,6,2
581,-0.57,6,2,5,2
582,0.40,2,7,6,1
583,0.40,1,7,4,5
584,0.40,1,2,3,5
585,0.28,1,6,2,1
586,0.40,3,5,10,1
587,0.40,3,6,10,1
588,-0.57,3,3,8,3
589,-0.40,3,1,13,3
590,-0.56,3,2,13,3
591,0.40,5,4,7,1
592,0.56,4,5,7,3
593,-0.56,2,2,8,3
594,-0.56,5,2,8,3
595,0.28,1,7,6,1
596,-0.56,4,3,6,3
597,-0.56,5,2,3,4
598,0.56,3,7,5,3
599,-0.39,8,1,7,3
600,-0.28,3,1,19,3
601,0.28,3,1,18,1
602,-0.39,3,4,7,1
603,-0.39,1,3,7,5
604,0.28,8,1,6,1
605,-0.39,3,1,8,2
606,0.55,3,2,18,3
607,-0.39,2,3,3,1
608,-0.39,9,6,3,1
609,-0.39,2,2,4,1
610,0.55,9,2,4,2
611,0.27,1,1,11,3
612,-0.27,2,1,10,1
613,0.39,1,7,3,5
614,0.55,3,2,16,3
615,0.39,5,7,8,1
616,-0.38,1,2,14,3
617,-0.27,4,4,1,1
618,-0.38,8,6,5,1
619,0.27,8,1,4,1
620,0.38,6,1,6,2
621,-0.54,3,6,5,2
622,0.27,10,4,1,1
623,0.54,3,6,7,5
624,-0.27,8,5,1,1
625,-0.38,4,1,4,3
626,-0.54,6,2,4,2
627,-0.54,4,3,8,2
628,0.38,2,6,16,1
629,-0.38,5,3,12,1
630,-0.38,1,3,3,3
631,-0.53,5,3,6,2
632,-0.27,5,1,10,1
633,0.38,11,2,6,1
634,0.38,9,1,7,2
635,-0.27,16,1,3,1
636,-0.26,5,1,1,3
637,0.37,8,2,6,1
638,0.37,12,2,6,1
639,0.26,17,1,7,1
640,-0.37,3,2,9,1
641,0.37,3,1,9,2
642,-0.52,3,2,17,3
643,0.52,3,5,7,3
644,-0.37,6,2,7,1
645,-0.52,3,7,4,4
646,0.18,4,1,19,1
647,-0.52,4,2,4,2
648,0.26,6,1,10,1
649,0.36,1,7,7,5
650,-0.36,10,1,7,3
651,-0.26,1,4,16,1
652,-0.36,1,6,4,3
653,-0.26,1,1,18,3
654,-0.36,8,1,5,2
655,-0.36,2,1,12,2
656,-0.51,3,2,10,5
657,0.36,3,1,2,3
658,-0.36,1,4,3,4
659,0.51,3,2,6,5
660,0.51,2,6,5,2
661,0.36,2,3,8,1
662,0.36,3,1,14,3
663,0.25,1,1,6,5
664,-0.51,5,2,3,3
665,0.50,5,2,3,2
666,-0.36,2,2,18,1
667,-0.50,2,3,4,2
668,0.36,3,1,16,3
669,0.25,1,1,3,5
670,0.25,23,1,5,1
671,-0.50,2,2,4,4
672,0.50,3,3,7,3
673,-0.25,3,5,1,1
674,-0.35,8,1,3,3
675,-0.35,1,5,3,2
676,0.50,5,6,8,3
677,-0.18,1,1,16,1
678,-0.49,5,2,6,2
679,-0.49,3,7,3,4
680,0.35,1,2,9,3
681,-0.25,1,1,2,3
682,0.35,2,1,8,5
683,0.35,2,7,16,1
684,-0.49,2,5,5,3
685,0.35,6,1,3,5
686,-0.35,6,1,8,2
687,-0.35,2,7,14,1
688,-0.24,1,5,12,1
689,-0.24,1,1,10,3
690,-0.48,3,6,5,5
691,-0.34,8,5,5,1
692,0.34,2,1,4,2
693,-0.48,2,3,6,2
694,0.34,4,3,6,1
695,0.34,1,5,8,3
696,0.34,7,1,8,3
697,0.34,5,7,10,1
698,0.24,3,1,1,5
699,0.34,3,1,12,3
700,0.48,4,4,4,2
